nome,preco,avaliacao,categoria
"Smartphone Samsung Galaxy A25 5G 256GB 8GB Ram Dual SIM Android 14 Azul-Escuro 6,5''",1598.82,,celular
Celular Samsung Galaxy A56 5g 128gb 8gb Ram Cinza,2999.96,,celular
Smartphone Moto G75 5g 256gb Vegan Leather Cor Azul Motorola,2399.67,,celular
Smartphone Motorola Moto G15 - 256gb 12gb (4gb Ram+8gb Ram Boost) E Camera 50mp Com Ai E Night Vision Bateria De 5200 Mah Tela Fhd+ 6.7 Com Superbrilho Nfc - Grafite,1449.1,,celular
"Smartphone Samsung Galaxy A05s 4G 128GB 6GB RAM Câmera Traseira Tripla 50MP + 2MP + 2MP + Selfie 13MP Tela 6.7"" Preto",1155.5,,celular
"Smartphone Motorola Moto g35 5G - 256GB 12GB (4GB RAM+8GB Ram Boost) e Camera 50MP com AI NFC Tela 6.7"" com Superbrilho - Cinza",1863.9,,celular
Samsung Galaxy A25 5G Dual SIM 128Gb Azul Escuro 6Gb Ram,1570.17,,celular
Samsung Galaxy A15 4G Dual SIM 128 GB Azul-claro 4 GB RAM,1069.1,,celular
"Celular Samsung Galaxy A16, 256gb + 8gb Ram, Câmera De Até 50mp, Tela 6.7 , Nfc, Ip54, Bateria 5000 Mah Cinza",1698.39,,celular
Apple iPhone 15 (128 GB) - Preto - Distribuidor Autorizado,7209.92,,celular
"Celular Samsung Galaxy A16, 128gb + 4gb Ram, Câmera De Até 50mp, Tela 6.7 , Nfc, Ip54, Bateria 5000 Mah Cinza",1549.3,,celular
Smartphone Moto G75 5g 256gb Vegan Leather Cor Cinza Motorola,2399.06,,celular
iPhone 16e (128 GB) - Preto - Distribuidor Autorizado,5799.9,,celular
Apple iPhone 13 (128 GB) Meia-noite - Distribuidor Autorizado,6729.98,,celular
Apple iPhone 14 (128 GB) - Meia noite - Distribuidor Autorizado,6239.9,,celular
"Celular Samsung Galaxy A16 5g, 128gb + 4gb Ram, Câmera De Até 50mp, Tela 6.7 , Nfc, Ip54, Bateria 5000 Mah Azul Escuro",1776.83,,celular
Samsung Galaxy A06 Dual SIM 128 GB verde-claro 4 GB RAM (Novo com caixa aberta),899.99,,celular
Apple iPhone 15 (256 GB) - Preto - Distribuidor Autorizado,8095.34,,celular
Apple iPhone 16 (128 GB) - Ultramarino - Distribuidor Autorizado,7799.43,,celular
Smartphone Motorola Moto G35 5g - 256gb 12gb (4gb Ram+8gb Ram Boost) E Camera 50mp Com Ai Nfc Tela 6.7 Com Superbrilho - Coral - Vegan Leather,1863.9,,celular
Motorola Moto G75 5g Dual Sim 256 Gb Azul 8 Gb RAM,1904.85,,celular
"Celular Samsung Galaxy S24 Ultra, 256gb, 12gb Ram, 6.8 , Ai Cor Titânio-cinza",9199.9,,celular
"Celular Samsung Galaxy A16, 128gb + 4gb Ram, Câmera De Até 50mp, Tela 6.7 , Nfc, Ip54, Bateria 5000 Mah Verde Claro",1549.3,,celular
Motorola Moto G04s 8GB 4 GB de RAM + 4GB Ram 256 GB Dual Sim Nightshade,999.9,,celular
"Celular Feature Phone Positivo P41 48mb 128mb P/ Idoso 4g Tela 2,4'' Rádio Fm Preto",249.0,,celular
"Celular Samsung Galaxy A16 5g, 256gb + 8gb Ram, Câmera De Até 50mp, Tela 6.7 , Nfc, Ip54, Bateria 5000 Mah Azul Escuro",1949.92,,celular
Celular Simples Positivo P26 Rede 4g Dual Chip Radio Mp3 Cor Preto,235.71,,celular
"Celular Samsung Galaxy S24, Galaxy Ai, Câmera Tripla Traseira De Até 50mp, Selfie De 12mp, Tela De 6.2 1-120hz, 256gb, 8gb De Ram, Esim Cinza",5699.17,,celular
Celular Xiaomi Poco X7 Pro 5g Dual Sim 256gb Preto 8ram 50mpx,2060.44,,celular
"Smartphone Samsung Galaxy A36 5G 128GB, 6GB RAM, Recursos AI",2355.89,,celular
"Samsung Galaxy S24 Fe 5g, 256gb, 8gb Ram, Tela 6.7 Cor Cinza-escuro",5699.78,,celular
Smartphone Infinix Hot 50i 256 Gb Rom 4 Gb + 4 Gb Ram Dual Sim Cor Cinza,699.83,,celular
Celular Nokia Básico Dois Chip Rádio Teclado Numérico Cor Preto,92.95,,celular
"Samsung Galaxy S25 5G, 256GB, 12GB, Câmera Tripla - Verde claro",6999.3,,celular
Smartphone Realme Note 60s Dual Sim 128 Gb 4Gb Ram Preto,1299.61,,celular
Apple iPhone 16 (256 GB) - Ultramarino - Distribuidor Autorizado,9538.58,,celular
Celular Positivo P51 Flip 4G Dual Sim 128 MB Preto 42 MB RAM,225.16,,celular
"Smartphone Samsung Galaxy S24 FE 5G 256GB 8GB RAM Tela 6.7"" Galaxy AI - Azul",5699.78,,celular
